Gender,Geographic Region,Loyalty Status,Neigborhood Cluster-55 Level,Neighborhood Cluster-7 Level,Television Region,Affluence Grade,Age,Loyalty Card Tenure,ORGANICS
F,South East,Gold,12.0,B,London,8,70,14,0
F,North,Platinum,38.0,E,N East,7,72,3,0
M,Midlands,Tin,27.193651677572046,E,East,12,41,9,0
F,North,Gold,52.0,F,N East,9,37,1,1
F,North,Gold,24.0,C,N West,8,58,7,0
F,South East,Silver,31.0,D,London,7,47,5,0
M,Midlands,Silver,37.0,E,East,8,71,6,0
F,Midlands,Silver,27.0,D,Midlands,8,62,5,1
F,Midlands,Gold,37.0,E,Midlands,15,72,12,0
F,Midlands,Silver,44.0,E,Midlands,8,39,4,1
M,Midlands,Gold,34.0,D,Wales & West,6,76,14,0
F,Scottish,Gold,11.0,B,Border,7,61,11,1
F,Midlands,Tin,32.0,D,Midlands,6,53,5,0
M,North,Silver,22.0,C,Yorkshire,8,60,11,1
F,South East,Tin,52.0,F,London,15,42,5,1
F,South East,Silver,4.0,A,London,13,53,4,0
F,Midlands,Silver,38.0,E,Midlands,10,57,11,0
M,Midlands,Tin,51.0,F,Midlands,6,45,4,0
F,Midlands,Silver,12.0,B,East,11,75,8,1
F,North,Tin,38.0,E,Yorkshire,8,37,5,1
F,South West,Silver,42.0,E,S West,13,61,8,0
F,South West,Silver,8.0,B,S West,12,61,9,0
F,North,Tin,4.0,A,Yorkshire,15,39,8,1
M,Midlands,Silver,27.193651677572046,A,Ulster,7,55,1,0
M,Scottish,Gold,8.0,B,C Scotland,8,57,9,0
F,South East,Gold,22.0,C,S & S East,13,18,1,0
F,North,Silver,1.0,A,N West,5,56,8,0
F,North,Gold,27.0,D,N East,9,50,4,0
F,North,Silver,51.0,F,N West,8,54,2,0
F,North,Platinum,15.0,B,N East,11,67,8,0
F,Midlands,Silver,37.0,E,Midlands,7,78,14,0
F,Midlands,Tin,19.0,C,Midlands,5,61,5,0
F,South East,Silver,14.0,B,London,5,45,11,0
F,South East,Silver,1.0,A,London,11,66,5,0
F,North,Gold,24.0,C,Yorkshire,4,51,5,0
F,Midlands,Gold,18.0,C,Midlands,4,53,1,0
F,North,Silver,12.0,B,N West,10,60,9,0
M,Midlands,Silver,19.0,C,East,9,48,2,0
F,South East,Silver,24.0,C,S & S East,8,53,1,0
F,Midlands,Gold,45.0,E,Midlands,10,72,8,1
F,South East,Tin,41.0,E,London,9,68,7,0
F,Scottish,Tin,1.0,A,N Scot,8,47,5,0
F,South East,Silver,40.0,E,London,11,39,1,1
F,South East,Tin,4.0,A,London,12,72,8,0
M,South East,Gold,40.0,E,London,10,67,4,0
F,South East,Tin,25.0,C,London,9,60,8,0
M,North,Gold,30.0,D,Yorkshire,6,53,3,0
M,North,Tin,52.0,F,N West,11,52,9,0
F,Midlands,Tin,27.0,D,Midlands,7,55,8,0
M,South East,Gold,27.193651677572046,D,S & S East,14,65,6,0
M,South East,Tin,12.0,B,London,13,41,7,1
F,Midlands,Silver,28.0,D,East,15,34,3,1
F,North,Silver,32.0,D,N West,6,40,7,1
F,South East,Tin,53.0,F,London,9,35,4,1
M,North,Silver,10.0,B,Yorkshire,7,50,10,0
M,North,Silver,1.0,A,N West,6,62,14,0
M,North,Tin,51.0,F,Yorkshire,7,53,10,0
M,Midlands,Gold,16.0,C,East,9,60,5,0
F,North,Gold,14.0,B,N West,8,49,4,0
M,Midlands,Silver,53.0,F,Midlands,6,57,8,0
M,Midlands,Platinum,51.0,F,Midlands,7,52,6,0
M,Scottish,Gold,52.0,F,C Scotland,6,75,14,0
M,Midlands,Gold,37.0,E,Midlands,15,55,6,0
F,Midlands,Gold,51.0,F,Midlands,5,57,1,0
F,North,Silver,22.0,C,N West,8,52,6,1
F,Midlands,Gold,3.0,A,East,12,74,5,0
F,South East,Silver,28.0,D,London,9,79,5,0
F,North,Silver,32.0,D,Yorkshire,6,48,4,0
F,South East,Tin,41.0,E,London,11,60,8,0
F,North,Silver,53.0,F,N West,4,38,9,1
F,North,Silver,10.0,B,N West,9,58,5,0
M,Midlands,Silver,30.0,D,Wales & West,4,52,4,0
F,North,Silver,47.0,F,Yorkshire,4,45,9,0
F,North,Silver,51.0,F,N West,9,42,4,0
F,Midlands,Silver,51.0,F,Midlands,10,40,10,0
F,Midlands,Gold,35.0,D,Midlands,5,55,8,0
F,Midlands,Gold,23.0,C,Midlands,8,77,3,0
F,South East,Tin,19.0,C,London,11,27,7,1
F,North,Tin,37.0,E,N West,4,60,8,0
F,South East,Silver,4.0,A,London,7,58,5,0
F,Midlands,Tin,5.0,B,Midlands,7,54,6,0
M,North,Tin,32.0,D,N West,7,42,4,0
F,North,Silver,48.0,F,N West,10,36,9,1
F,South East,Gold,41.0,E,London,6,53,1,1
F,South East,Tin,31.0,D,London,4,57,5,0
F,Midlands,Gold,18.0,C,Midlands,10,72,8,0
F,Midlands,Tin,17.0,C,East,10,53,6,1
F,North,Tin,51.0,F,N West,7,37,5,0
F,Midlands,Silver,51.0,F,East,9,76,8,1
F,North,Tin,34.0,D,N West,6,45,5,0
F,South East,Gold,19.0,C,S & S East,14,53,8,0
M,South East,Silver,48.0,F,London,8,51,9,0
M,South East,Silver,12.0,B,S & S East,15,61,2,0
F,Scottish,Silver,11.0,B,N Scot,12,61,1,0
M,Midlands,Tin,27.193651677572046,B,Ulster,9,47,5,0
M,Midlands,Tin,50.0,F,East,8,52,8,0
M,Midlands,Silver,38.0,E,Midlands,8,40,1,0
F,Midlands,Tin,34.0,D,Midlands,5,56,9,0
F,North,Gold,47.0,F,N West,8,51,8,0
F,South East,Gold,24.0,C,London,9,50,2,0
F,North,Tin,38.0,E,N West,4,46,5,0
F,South East,Silver,8.0,B,S & S East,8,41,7,1
M,South East,Silver,10.0,B,London,8,60,8,0
F,South East,Silver,15.0,B,S & S East,10,70,8,0
F,South East,Tin,28.0,D,London,9,50,9,1
F,Midlands,Tin,49.0,F,Midlands,15,37,8,1
F,South East,Silver,18.0,C,London,9,74,5,0
F,South West,Silver,37.0,E,S West,8,61,6,1
F,North,Silver,4.0,A,N West,8,49,3,0
F,South East,Tin,34.0,D,S & S East,7,53,8,0
M,Scottish,Gold,11.0,B,C Scotland,9,53,4,0
F,Midlands,Tin,34.0,D,Midlands,4,53,5,0
F,Scottish,Silver,45.0,E,Border,8,59,7,0
F,North,Tin,12.0,B,N West,7,63,5,0
F,North,Silver,32.0,D,N West,7,51,10,0
F,North,Platinum,27.0,D,N West,5,62,7,0
F,South East,Silver,23.0,C,S & S East,4,46,10,0
M,North,Gold,38.0,E,Yorkshire,10,39,2,1
M,South East,Silver,36.0,E,S & S East,6,53,6,1
M,Midlands,Tin,27.0,D,Midlands,10,53,5,0
F,South East,Silver,21.0,C,London,7,48,4,0
F,South East,Gold,12.0,B,S & S East,7,62,11,0
M,South East,Silver,12.0,B,London,9,26,1,0
F,North,Silver,41.0,E,N East,7,53,5,0
F,South West,Gold,41.0,E,S West,6,43,2,0
F,Midlands,Gold,41.0,E,Midlands,7,78,5,0
F,Midlands,Gold,19.0,C,East,4,67,3,0
F,North,Tin,27.0,D,N West,4,45,5,0
F,Scottish,Tin,32.0,D,C Scotland,10,60,5,0
F,South East,Gold,44.0,E,London,13,68,6,0
F,South East,Platinum,4.0,A,S & S East,14,74,3,0
M,Midlands,Tin,35.0,D,Midlands,5,53,8,0
M,Scottish,Silver,23.0,C,C Scotland,5,51,8,0
F,South East,Platinum,4.0,A,S & S East,9,53,1,0
F,South East,Silver,52.0,F,S & S East,6,51,1,0
F,South East,Silver,4.0,A,S & S East,5,51,2,0
M,South East,Tin,21.0,C,London,11,36,4,0
F,Midlands,Gold,49.0,F,Wales & West,8,63,2,0
F,South East,Silver,16.0,C,S & S East,8,69,9,0
F,Midlands,Tin,32.0,D,Midlands,11,40,5,1
F,Midlands,Silver,45.0,E,Wales & West,4,46,11,0
M,South East,Tin,34.0,D,S & S East,8,46,8,0
F,South East,Silver,4.0,A,S & S East,8,46,11,1
F,North,Tin,35.0,D,N West,9,38,5,1
M,North,Gold,52.0,F,N West,4,67,5,0
M,North,Platinum,53.0,F,Yorkshire,11,73,4,0
F,Scottish,Gold,11.0,B,Border,5,53,8,0
F,Midlands,Silver,37.0,E,Midlands,6,55,4,1
F,South East,Silver,4.0,A,London,9,54,8,0
M,South East,Tin,52.0,F,London,6,45,5,0
M,South East,Tin,25.0,C,London,10,39,4,1
F,North,Silver,38.0,E,N West,5,58,4,0
F,North,Tin,35.0,D,N East,8,33,5,1
M,South East,Tin,27.0,D,London,11,35,8,1
M,North,Gold,4.0,A,Yorkshire,4,71,12,0
M,Scottish,Tin,15.0,B,Border,10,55,4,0
M,South West,Silver,27.0,D,S West,8,57,11,0
M,South East,Gold,5.0,B,London,13,53,5,0
F,South East,Silver,44.0,E,London,9,58,14,0
M,North,Tin,20.0,C,Yorkshire,13,43,5,0
F,South East,Tin,32.0,D,London,8,47,5,0
M,South East,Gold,18.0,C,S & S East,4,74,2,0
M,North,Silver,38.0,E,N East,10,49,1,0
F,South East,Silver,27.0,D,S & S East,9,58,9,0
F,Midlands,Tin,27.0,D,Midlands,8,56,8,0
F,South East,Gold,14.0,B,S & S East,5,47,1,0
F,Midlands,Silver,52.0,F,Midlands,14,30,1,1
F,South East,Platinum,30.0,D,S & S East,4,68,4,1
F,North,Silver,35.0,D,N West,8,45,4,0
F,South East,Gold,4.0,A,London,7,71,6,0
F,South East,Gold,28.0,D,S & S East,10,65,8,0
F,South East,Gold,24.0,C,London,10,74,5,0
F,North,Tin,32.0,D,N West,10,43,5,1
F,South West,Silver,42.0,E,S West,11,44,9,0
F,South East,Silver,48.0,F,London,9,65,5,0
M,South East,Gold,28.0,D,S & S East,7,46,12,0
F,Midlands,Silver,52.0,F,Midlands,8,29,12,0
F,Midlands,Tin,20.0,C,Wales & West,7,53,5,1
M,Midlands,Silver,37.0,E,Midlands,9,64,12,0
M,South East,Silver,30.0,D,S & S East,10,49,5,1
F,South East,Gold,51.0,F,London,15,59,8,1
F,North,Tin,52.0,F,N West,8,37,5,0
F,South East,Gold,14.0,B,London,5,60,2,0
F,North,Tin,52.0,F,Yorkshire,10,64,4,0
F,North,Silver,16.0,C,N West,4,53,4,0
F,South East,Silver,26.0,C,London,15,51,8,1
F,Midlands,Tin,27.193651677572046,C,Midlands,8,47,5,0
F,Midlands,Silver,11.0,B,Wales & West,15,51,3,0
F,Scottish,Silver,34.0,D,C Scotland,5,58,11,0
M,South East,Tin,1.0,A,London,9,46,9,0
M,South East,Tin,31.0,D,London,5,48,5,0
F,Midlands,Silver,41.0,E,East,15,53,6,1
F,Midlands,Gold,19.0,C,Midlands,4,61,1,0
F,Midlands,Tin,17.0,C,Midlands,9,38,5,1
M,South East,Gold,41.0,E,S & S East,7,68,6,0
F,Midlands,Gold,53.0,F,Wales & West,12,76,2,0
F,North,Tin,32.0,D,Yorkshire,4,56,8,0
M,North,Silver,2.0,A,N East,8,73,1,1
F,Midlands,Tin,33.0,D,Midlands,8,37,9,1
F,Midlands,Silver,25.0,C,Midlands,8,32,1,1
F,South East,Silver,1.0,A,London,11,74,4,0
M,North,Gold,30.0,D,Yorkshire,9,65,6,0
F,Midlands,Silver,37.0,E,Midlands,5,60,2,0
F,Scottish,Silver,30.0,D,C Scotland,10,35,4,0
F,Scottish,Gold,23.0,C,N Scot,6,46,1,0
F,South East,Gold,37.0,E,London,4,46,5,0
F,South East,Platinum,41.0,E,London,5,70,1,0
M,Midlands,Gold,27.193651677572046,E,Ulster,9,37,11,1
M,South East,Gold,8.0,B,S & S East,4,46,3,0
M,Scottish,Silver,43.0,E,C Scotland,4,68,14,0
M,Midlands,Platinum,8.0,B,Midlands,10,53,4,0
M,Midlands,Silver,32.0,D,Wales & West,11,53,5,0
F,South East,Silver,37.0,E,London,12,49,3,0
F,Midlands,Silver,38.0,E,Midlands,4,63,7,0
F,Midlands,Silver,8.0,B,Midlands,4,62,5,0
F,South East,Gold,37.0,E,S & S East,5,53,7,1
F,Midlands,Silver,34.0,D,East,5,62,8,0
F,North,Gold,22.0,C,N East,5,74,1,0
F,South East,Tin,27.193651677572046,C,S & S East,5,52,5,0
F,North,Tin,10.0,B,N West,8,42,4,0
F,Midlands,Gold,28.0,D,Midlands,8,74,14,1
F,South East,Tin,32.0,D,S & S East,7,43,5,0
F,South East,Gold,25.0,C,London,8,64,2,0
F,North,Silver,44.0,E,N West,12,31,9,0
F,North,Silver,27.0,D,N East,11,41,5,0
F,Midlands,Tin,51.0,F,Wales & West,9,45,8,0
F,South East,Gold,25.0,C,London,8,67,2,0
F,South East,Silver,1.0,A,London,15,53,13,1
F,South East,Tin,21.0,C,London,9,40,5,0
F,South East,Gold,5.0,B,S & S East,7,70,2,0
F,South East,Silver,16.0,C,S & S East,15,53,1,1
F,Midlands,Tin,52.0,F,Midlands,6,56,5,0
F,South East,Gold,13.0,B,London,8,53,1,0
F,North,Tin,52.0,F,Yorkshire,15,32,5,1
M,Midlands,Silver,27.193651677572046,F,Ulster,10,51,6,0
M,South East,Silver,10.0,B,London,8,65,7,0
F,Midlands,Gold,51.0,F,Wales & West,8,52,2,0
F,Scottish,Gold,25.0,C,C Scotland,8,53,2,1
F,South East,Tin,38.0,E,S & S East,6,38,9,1
F,South East,Silver,32.0,D,London,8,43,10,0
M,North,Tin,44.0,E,N West,7,37,5,0
M,Scottish,Tin,22.0,C,N Scot,7,42,5,0
M,Midlands,Gold,2.0,A,Midlands,4,22,3,0
M,Midlands,Tin,44.0,E,East,8,31,8,0
F,North,Silver,6.0,B,N West,15,33,7,1
M,South East,Silver,51.0,F,London,9,53,7,0
M,Midlands,Silver,49.0,F,Midlands,8,31,1,0
M,Scottish,Gold,34.0,D,C Scotland,8,54,8,0
F,South East,Silver,18.0,C,S & S East,5,54,2,0
M,North,Gold,10.0,B,Yorkshire,9,53,3,0
F,North,Tin,53.0,F,Yorkshire,15,37,5,1
F,South West,Gold,28.0,D,S West,8,63,2,0
M,North,Tin,27.193651677572046,D,N West,4,33,5,0
F,South East,Tin,12.0,B,London,7,65,8,0
F,Midlands,Silver,38.0,E,Midlands,14,39,10,1
F,Scottish,Gold,47.0,F,C Scotland,9,42,2,1
M,North,Silver,37.0,E,Yorkshire,6,67,8,0
F,Midlands,Tin,52.0,F,Midlands,11,43,5,1
M,North,Gold,23.0,C,N West,9,53,6,0
F,South East,Silver,19.0,C,S & S East,8,50,9,0
F,Midlands,Gold,8.0,B,Midlands,5,70,5,0
F,Midlands,Tin,28.0,D,Midlands,13,58,8,0
F,Midlands,Tin,27.193651677572046,D,Midlands,13,50,5,1
F,Midlands,Silver,27.193651677572046,D,Ulster,7,78,5,0
M,Midlands,Gold,12.0,B,East,5,79,8,0
F,South East,Silver,1.0,A,London,8,68,8,1
F,South East,Silver,1.0,A,London,9,48,8,0
M,South East,Silver,20.0,C,London,9,53,3,0
M,South West,Silver,51.0,F,S West,12,35,5,0
F,Midlands,Tin,34.0,D,East,9,38,4,1
M,North,Gold,17.0,C,N West,11,42,5,0
M,North,Silver,17.0,C,N West,14,50,4,0
M,North,Tin,22.0,C,N West,4,63,5,1
F,South East,Gold,20.0,C,London,9,75,1,0
F,South East,Silver,29.0,D,London,8,50,8,0
F,South East,Tin,34.0,D,London,4,58,8,0
F,Midlands,Silver,27.193651677572046,D,Ulster,8,66,8,0
F,South East,Silver,48.0,F,London,6,54,11,0
F,North,Tin,35.0,D,N West,7,54,5,0
F,South East,Tin,53.0,F,London,15,38,6,1
M,Midlands,Gold,53.0,F,East,6,53,2,0
M,South East,Silver,24.0,C,London,8,55,5,0
M,Scottish,Tin,38.0,E,C Scotland,8,52,4,0
F,Midlands,Silver,32.0,D,Midlands,11,59,2,0
M,South West,Silver,49.0,F,S West,6,63,2,1
M,North,Tin,38.0,E,N West,15,47,6,0
F,South East,Tin,51.0,F,London,6,44,8,0
F,South East,Tin,4.0,A,London,7,39,7,0
F,Midlands,Gold,4.0,A,Midlands,5,72,2,0
M,Midlands,Tin,47.0,F,Wales & West,8,38,5,0
F,South East,Tin,30.0,D,S & S East,13,72,8,0
M,South East,Tin,27.0,D,London,11,53,4,1
M,Scottish,Silver,49.0,F,Border,6,76,8,0
M,North,Silver,32.0,D,N East,11,50,8,0
F,Midlands,Gold,19.0,C,Wales & West,7,66,8,0
F,South East,Tin,38.0,E,London,6,51,5,0
F,Midlands,Gold,19.0,C,Midlands,7,61,6,0
F,Midlands,Tin,25.0,C,Midlands,4,63,8,0
F,South East,Gold,51.0,F,London,6,78,5,0
M,Midlands,Gold,15.0,B,East,9,55,2,0
M,Midlands,Gold,53.0,F,Midlands,7,49,3,0
M,South East,Silver,5.0,B,London,13,70,8,0
F,Midlands,Tin,32.0,D,Midlands,6,45,4,0
F,Scottish,Silver,52.0,F,C Scotland,5,73,14,0
F,South East,Platinum,4.0,A,London,8,71,4,1
F,South East,Gold,27.0,D,London,14,52,5,0
F,Midlands,Tin,34.0,D,East,11,52,6,0
F,Midlands,Silver,52.0,F,East,9,64,1,0
F,Midlands,Gold,16.0,C,Midlands,9,57,7,0
F,Midlands,Silver,44.0,E,Midlands,6,53,14,0
M,North,Gold,27.0,D,N West,10,63,4,0
F,Midlands,Tin,41.0,E,Midlands,8,32,4,1
M,North,Tin,24.0,C,N West,15,39,8,1
F,Midlands,Tin,22.0,C,Midlands,7,35,4,1
F,Midlands,Silver,48.0,F,Wales & West,8,58,9,0
F,Midlands,Tin,23.0,C,Midlands,10,40,4,1
M,South East,Silver,25.0,C,S & S East,13,53,5,1
F,South East,Gold,3.0,A,London,9,61,11,0
F,North,Silver,25.0,C,N West,13,70,11,0
F,Midlands,Gold,31.0,D,Midlands,12,53,11,0
F,Midlands,Tin,35.0,D,Midlands,7,53,8,0
F,North,Silver,52.0,F,N West,5,70,5,0
F,Midlands,Gold,3.0,A,Wales & West,6,60,4,0
F,South East,Silver,6.0,B,S & S East,14,77,11,0
F,South East,Silver,42.0,E,S & S East,10,74,12,0
F,Midlands,Silver,33.0,D,Wales & West,7,67,5,0
M,Midlands,Gold,27.0,D,Midlands,7,51,11,1
F,Midlands,Silver,25.0,C,Midlands,15,37,8,1
F,North,Gold,52.0,F,N West,8,35,5,0
F,Scottish,Gold,20.0,C,N Scot,5,58,14,0
F,South East,Silver,30.0,D,S & S East,6,27,7,0
F,South East,Platinum,12.0,B,London,5,72,12,0
F,South East,Gold,31.0,D,London,9,70,8,0
F,Midlands,Tin,51.0,F,Wales & West,7,53,2,0
M,North,Tin,38.0,E,N West,7,51,10,0
F,North,Silver,52.0,F,N West,9,31,1,1
F,Midlands,Silver,51.0,F,Wales & West,10,58,8,0
F,Midlands,Tin,38.0,E,Wales & West,10,73,6,0
F,South East,Silver,51.0,F,London,7,38,4,0
F,South East,Silver,1.0,A,London,7,71,3,1
M,South East,Silver,22.0,C,London,15,50,6,1
M,Midlands,Silver,27.193651677572046,C,Wales & West,9,53,4,0
F,Midlands,Silver,22.0,C,Midlands,6,51,14,0
F,Midlands,Tin,35.0,D,Wales & West,10,33,8,0
F,Midlands,Silver,1.0,A,Midlands,6,67,4,0
M,South East,Silver,15.0,B,S & S East,8,78,8,0
F,South East,Gold,2.0,A,London,8,64,4,1
F,South East,Silver,52.0,F,London,9,50,4,0
F,North,Gold,37.0,E,N West,8,76,14,0
F,South East,Gold,50.0,F,London,5,41,3,0
M,Scottish,Tin,31.0,D,C Scotland,12,50,7,1
F,South West,Gold,2.0,A,S West,13,54,14,0
F,South East,Silver,14.0,B,S & S East,13,45,8,0
F,South East,Silver,10.0,B,London,8,72,13,0
F,North,Tin,53.0,F,N West,7,41,9,0
M,South East,Silver,13.0,B,S & S East,10,59,2,0
M,Midlands,Silver,23.0,C,Midlands,9,68,5,1
M,Scottish,Silver,35.0,D,C Scotland,9,66,9,0
M,North,Tin,6.0,B,Yorkshire,5,52,11,0
M,Midlands,Gold,27.193651677572046,B,Ulster,8,73,6,0
M,North,Silver,50.0,F,N West,6,45,9,0
F,South East,Tin,30.0,D,S & S East,9,48,5,1
F,South East,Tin,6.0,B,S & S East,6,60,5,0
F,South East,Tin,12.0,B,London,8,57,8,0
F,Midlands,Gold,23.0,C,East,11,56,7,0
F,Midlands,Tin,44.0,E,Midlands,15,31,4,1
F,South West,Tin,30.0,D,S West,8,53,4,1
M,South East,Tin,26.0,C,London,9,55,11,0
M,Midlands,Silver,17.0,C,Midlands,8,61,6,0
F,South East,Gold,27.0,D,London,8,41,5,0
M,South East,Silver,2.0,A,London,9,68,4,0
F,South East,Tin,21.0,C,London,14,47,8,0
F,Midlands,Silver,24.0,C,Wales & West,4,70,11,0
M,South East,Silver,7.0,B,London,10,40,13,0
M,Midlands,Tin,47.0,F,Midlands,10,57,4,0
F,Scottish,Silver,12.0,B,C Scotland,11,54,9,0
F,Midlands,Silver,8.0,B,Midlands,4,53,5,0
F,South East,Gold,13.0,B,London,9,44,5,0
M,North,Silver,35.0,D,Yorkshire,6,57,8,0
M,Midlands,Silver,19.0,C,Midlands,5,53,8,0
M,Scottish,Gold,35.0,D,N Scot,9,60,14,0
F,Scottish,Tin,52.0,F,N Scot,13,45,4,1
F,South East,Tin,37.0,E,London,9,40,6,1
F,North,Silver,12.0,B,N West,9,22,3,1
M,South East,Silver,4.0,A,London,10,73,14,0
M,South East,Tin,20.0,C,S & S East,10,44,5,0
M,South East,Silver,12.0,B,London,8,65,5,0
M,Midlands,Tin,8.0,B,Wales & West,5,50,4,0
F,South East,Silver,46.0,F,S & S East,8,76,3,1
M,South East,Tin,4.0,A,London,8,61,5,0
F,South East,Tin,41.0,E,London,7,52,9,0
F,Midlands,Gold,33.0,D,Midlands,9,48,2,0
M,Midlands,Tin,28.0,D,Midlands,9,47,4,0
F,Midlands,Silver,15.0,B,Midlands,7,57,1,0
F,North,Silver,35.0,D,N West,10,61,3,1
M,South West,Silver,45.0,E,S West,8,55,8,0
M,Scottish,Tin,47.0,F,C Scotland,10,52,5,0
F,Midlands,Tin,52.0,F,Wales & West,8,68,9,0
F,North,Gold,23.0,C,Yorkshire,5,76,3,1
M,Scottish,Silver,3.0,A,C Scotland,11,47,11,0
M,Midlands,Gold,38.0,E,Wales & West,9,66,2,0
F,Midlands,Gold,19.0,C,Midlands,12,60,4,0
M,South East,Tin,25.0,C,S & S East,8,49,14,0
F,South East,Gold,33.0,D,London,9,67,5,1
M,South East,Silver,20.0,C,London,4,53,9,0
F,Midlands,Gold,27.193651677572046,C,East,4,59,4,0
M,South East,Gold,16.0,C,London,8,69,8,0
F,South East,Tin,52.0,F,London,7,27,4,1
M,South East,Silver,14.0,B,London,10,63,7,0
F,North,Tin,35.0,D,N East,15,41,5,1
F,Midlands,Silver,53.0,F,East,8,36,7,1
F,South East,Silver,28.0,D,London,4,64,9,0
M,South East,Gold,44.0,E,London,8,45,2,0
F,South East,Tin,27.0,D,S & S East,10,46,4,0
F,North,Tin,5.0,B,N East,4,50,5,0
F,Midlands,Tin,42.0,E,Midlands,6,75,9,0
M,North,Gold,8.0,B,Yorkshire,11,62,10,0
M,North,Gold,5.0,B,N West,13,64,8,0
M,South East,Silver,16.0,C,London,8,39,8,1
F,Midlands,Silver,19.0,C,Midlands,11,25,3,1
F,Midlands,Platinum,25.0,C,Wales & West,5,46,9,0
F,North,Tin,37.0,E,N West,10,39,5,1
F,South East,Gold,46.0,F,London,6,56,1,0
F,North,Gold,38.0,E,N East,6,56,2,0
M,Scottish,Gold,23.0,C,N Scot,6,62,4,0
M,South East,Gold,49.0,F,S & S East,5,77,14,0
F,Midlands,Tin,19.0,C,Midlands,6,48,5,0
F,North,Silver,24.0,C,N West,4,29,7,1
M,Midlands,Tin,22.0,C,Wales & West,9,63,5,0
M,Midlands,Silver,32.0,D,Wales & West,5,46,5,0
M,Midlands,Tin,33.0,D,Midlands,9,58,5,1
F,North,Silver,16.0,C,N West,12,68,14,0
F,South East,Gold,38.0,E,S & S East,10,53,6,1
F,South East,Silver,12.0,B,London,7,36,8,1
F,Midlands,Silver,37.0,E,Wales & West,15,43,6,1
M,South East,Tin,34.0,D,London,6,57,4,0
M,South East,Tin,20.0,C,London,8,47,8,0
F,South East,Tin,31.0,D,S & S East,6,45,10,0
F,Midlands,Silver,14.0,B,Midlands,10,64,8,0
F,North,Tin,10.0,B,Yorkshire,12,37,5,1
F,North,Silver,20.0,C,Yorkshire,5,57,11,0
F,North,Tin,32.0,D,Yorkshire,6,41,5,0
M,Midlands,Silver,24.0,C,Wales & West,10,44,9,0
F,South East,Gold,14.0,B,London,9,51,10,0
F,South West,Gold,49.0,F,S West,7,62,2,0
F,Midlands,Silver,52.0,F,Midlands,15,54,9,1
M,South East,Silver,27.0,D,London,7,57,5,0
M,Midlands,Gold,6.0,B,East,7,63,5,0
M,North,Silver,25.0,C,Yorkshire,8,53,8,0
M,North,Tin,28.0,D,N West,4,51,5,0
F,North,Silver,38.0,E,N West,8,44,10,1
M,Midlands,Gold,35.0,D,Midlands,11,74,8,0
M,South West,Silver,53.0,F,S West,8,56,5,1
F,Midlands,Tin,53.0,F,Midlands,4,33,6,0
F,Midlands,Silver,9.0,B,Midlands,8,50,5,0
F,North,Tin,17.0,C,N West,8,59,5,1
F,North,Silver,13.0,B,N West,11,67,9,0
M,North,Gold,47.0,F,N West,7,72,5,0
M,North,Gold,10.0,B,N West,5,67,2,0
