Gender,Geographic Region,Loyalty Status,Neighborhood Cluster-7 Level,Affluence Grade,Age,Loyalty Card Tenure,ORGANICS
F,Midlands,Silver,D,16.0,34.0,3.0,1.0
F,North,Silver,D,6.0,40.0,7.0,1.0
F,South East,Tin,F,9.0,35.0,4.0,1.0
M,North,Silver,B,7.0,50.0,10.0,0.0
M,Midlands,Gold,C,9.0,60.0,5.0,0.0
F,North,Gold,B,8.0,49.0,4.0,0.0
M,Midlands,Silver,F,6.0,57.0,8.0,0.0
M,Scottish,Gold,F,6.0,75.0,17.0,0.0
F,North,Silver,C,8.0,52.0,6.0,1.0
F,Midlands,Gold,A,12.0,74.0,5.0,0.0
F,South East,Silver,D,9.0,79.0,5.0,0.0
F,North,Silver,F,3.0,38.0,9.0,1.0
F,North,Silver,B,9.0,58.0,5.0,0.0
M,Midlands,Silver,D,4.0,52.0,4.0,0.0
F,North,Silver,F,3.0,45.0,9.0,0.0
F,North,Silver,F,9.0,42.0,4.0,0.0
F,South East,Tin,C,11.0,27.0,7.0,1.0
F,North,Tin,E,4.0,60.0,8.0,0.0
M,North,Tin,D,7.0,42.0,4.0,0.0
F,South East,Silver,F,10.0,36.0,9.0,1.0
F,South East,Tin,D,4.0,57.0,5.0,0.0
F,Midlands,Gold,C,10.0,72.0,8.0,0.0
F,North,Tin,F,7.0,37.0,5.0,0.0
F,Midlands,Silver,F,9.0,76.0,8.0,1.0
F,North,Tin,D,6.0,45.0,5.0,0.0
F,Scottish,Silver,B,12.0,61.0,1.0,0.0
F,Midlands,Tin,D,5.0,56.0,9.0,0.0
F,North,Gold,F,8.0,51.0,8.0,0.0
F,South East,Gold,C,9.0,50.0,2.0,0.0
F,South East,Silver,B,8.0,41.0,7.0,1.0
M,South East,Silver,B,8.0,60.0,8.0,0.0
F,South East,Silver,B,10.0,70.0,8.0,0.0
F,South East,Tin,D,9.0,50.0,9.0,1.0
F,Midlands,Tin,F,15.0,37.0,8.0,1.0
F,South East,Silver,C,9.0,74.0,5.0,0.0
F,South West,Silver,E,8.0,61.0,6.0,1.0
M,Scottish,Gold,B,9.0,53.0,4.0,0.0
F,North,Silver,D,7.0,51.0,10.0,0.0
F,North,Platinum,D,5.0,62.0,7.0,0.0
F,South East,Silver,C,3.0,46.0,10.0,0.0
M,North,Gold,E,10.0,39.0,2.0,1.0
M,South East,Silver,E,6.0,53.0,6.0,1.0
F,South East,Silver,C,7.0,48.0,4.0,0.0
F,South East,Gold,B,7.0,62.0,11.0,0.0
M,South East,Silver,B,9.0,26.0,1.0,0.0
F,South West,Gold,E,6.0,43.0,2.0,0.0
F,Midlands,Gold,E,7.0,78.0,5.0,0.0
F,Midlands,Gold,C,3.0,67.0,3.0,0.0
F,North,Tin,D,2.0,45.0,5.0,0.0
F,South East,Gold,E,13.0,68.0,6.0,0.0
M,Midlands,Tin,D,5.0,53.0,8.0,0.0
M,Scottish,Silver,C,5.0,51.0,8.0,0.0
F,South East,Silver,F,6.0,51.0,1.0,0.0
M,South East,Tin,C,11.0,36.0,4.0,0.0
F,Midlands,Gold,F,8.0,63.0,2.0,0.0
F,South East,Silver,C,8.0,69.0,9.0,0.0
F,Midlands,Tin,D,11.0,40.0,5.0,1.0
F,Midlands,Silver,E,4.0,46.0,11.0,0.0
F,South East,Silver,A,8.0,46.0,11.0,1.0
F,North,Tin,D,9.0,38.0,5.0,1.0
M,North,Gold,F,4.0,67.0,5.0,0.0
F,Scottish,Gold,B,5.0,53.0,8.0,0.0
F,Midlands,Silver,E,6.0,55.0,4.0,1.0
F,South East,Silver,A,9.0,54.0,8.0,0.0
M,South East,Tin,F,6.0,45.0,5.0,0.0
M,Midlands,Tin,C,10.0,39.0,4.0,1.0
F,North,Silver,E,5.0,58.0,4.0,0.0
F,North,Tin,D,8.0,33.0,5.0,1.0
M,South East,Tin,D,11.0,35.0,8.0,1.0
M,North,Gold,A,4.0,71.0,12.0,0.0
M,Scottish,Tin,B,10.0,55.0,4.0,0.0
M,South East,Gold,B,13.0,53.0,5.0,0.0
F,South East,Silver,E,9.0,58.0,19.0,0.0
M,North,Tin,C,13.0,43.0,5.0,0.0
F,South East,Tin,D,8.0,47.0,5.0,0.0
M,South East,Gold,C,4.0,74.0,2.0,0.0
M,North,Silver,E,10.0,49.0,1.0,0.0
F,South East,Silver,D,9.0,58.0,9.0,0.0
F,Midlands,Tin,D,8.0,56.0,8.0,0.0
F,South East,Gold,B,5.0,47.0,1.0,0.0
F,Midlands,Silver,F,14.0,30.0,1.0,1.0
F,South East,Platinum,D,3.0,68.0,4.0,1.0
F,North,Silver,D,8.0,45.0,4.0,0.0
F,South East,Gold,A,7.0,71.0,6.0,0.0
F,South East,Gold,D,10.0,65.0,8.0,0.0
F,South East,Gold,C,10.0,74.0,5.0,0.0
F,North,Tin,D,10.0,43.0,5.0,1.0
F,South West,Silver,E,11.0,44.0,9.0,0.0
M,South East,Gold,D,7.0,46.0,12.0,0.0
F,Midlands,Silver,F,8.0,29.0,12.0,0.0
F,Midlands,Tin,C,7.0,53.0,5.0,1.0
M,Midlands,Silver,E,9.0,64.0,12.0,0.0
M,South East,Silver,D,10.0,49.0,5.0,1.0
F,South East,Gold,F,17.0,59.0,8.0,1.0
F,North,Tin,F,8.0,37.0,5.0,0.0
F,South East,Silver,C,15.0,51.0,8.0,1.0
F,Midlands,Silver,B,18.0,51.0,3.0,0.0
F,Scottish,Silver,D,5.0,58.0,11.0,0.0
M,South East,Tin,A,9.0,46.0,9.0,0.0
F,Midlands,Gold,C,4.0,61.0,1.0,0.0
F,Midlands,Tin,C,9.0,38.0,5.0,1.0
M,South East,Gold,E,7.0,68.0,6.0,0.0
F,Midlands,Gold,F,12.0,76.0,2.0,0.0
F,North,Tin,D,4.0,56.0,8.0,0.0
M,North,Silver,A,8.0,73.0,1.0,1.0
F,Midlands,Tin,D,8.0,37.0,9.0,1.0
F,South East,Silver,A,11.0,74.0,4.0,0.0
F,Midlands,Silver,E,5.0,60.0,2.0,0.0
F,Scottish,Silver,D,10.0,35.0,4.0,0.0
F,Scottish,Gold,C,6.0,46.0,1.0,0.0
F,South East,Gold,E,3.0,46.0,5.0,0.0
F,South East,Platinum,E,5.0,70.0,0.0,0.0
F,South East,Silver,E,12.0,49.0,3.0,0.0
F,Midlands,Silver,E,4.0,63.0,7.0,0.0
M,Midlands,Gold,D,8.0,74.0,17.0,1.0
F,South East,Tin,D,7.0,43.0,5.0,0.0
F,South East,Gold,C,8.0,64.0,2.0,0.0
F,North,Silver,E,12.0,31.0,9.0,0.0
F,North,Silver,D,11.0,41.0,5.0,0.0
F,Midlands,Tin,F,9.0,45.0,8.0,0.0
F,South East,Tin,C,9.0,40.0,5.0,0.0
F,South East,Gold,B,7.0,70.0,2.0,0.0
M,North,Tin,F,15.0,32.0,5.0,1.0
F,Midlands,Gold,F,8.0,52.0,2.0,0.0
F,South East,Tin,E,6.0,38.0,9.0,1.0
F,South East,Silver,D,8.0,43.0,10.0,0.0
M,North,Tin,E,7.0,37.0,5.0,0.0
M,Scottish,Tin,C,7.0,42.0,5.0,0.0
F,North,Silver,B,15.0,33.0,7.0,1.0
M,Scottish,Gold,D,8.0,54.0,8.0,0.0
F,South East,Silver,C,5.0,54.0,2.0,0.0
M,North,Gold,B,9.0,53.0,3.0,0.0
F,North,Tin,F,16.0,37.0,5.0,1.0
F,South East,Tin,B,7.0,65.0,8.0,0.0
F,Midlands,Silver,E,14.0,39.0,10.0,1.0
F,Scottish,Gold,F,9.0,42.0,2.0,1.0
M,North,Silver,E,6.0,67.0,8.0,0.0
F,Midlands,Tin,F,11.0,43.0,5.0,1.0
F,South East,Silver,C,8.0,50.0,9.0,0.0
F,Midlands,Tin,D,13.0,58.0,8.0,0.0
M,Midlands,Gold,B,5.0,79.0,8.0,0.0
F,South East,Silver,A,8.0,68.0,8.0,1.0
F,South East,Silver,A,9.0,48.0,8.0,0.0
M,South West,Silver,F,12.0,35.0,5.0,0.0
F,Midlands,Tin,D,9.0,38.0,4.0,1.0
M,North,Gold,C,11.0,42.0,5.0,0.0
M,North,Silver,C,14.0,50.0,4.0,0.0
M,North,Tin,C,4.0,63.0,5.0,1.0
F,South East,Gold,C,9.0,75.0,1.0,0.0
F,South East,Silver,D,8.0,50.0,8.0,0.0
F,South East,Tin,D,2.0,58.0,8.0,0.0
F,South East,Silver,F,6.0,54.0,11.0,0.0
F,North,Tin,D,7.0,54.0,5.0,0.0
F,South East,Tin,F,18.0,38.0,6.0,1.0
M,South East,Silver,C,8.0,55.0,5.0,0.0
M,Scottish,Tin,E,8.0,52.0,4.0,0.0
F,Midlands,Silver,D,11.0,59.0,2.0,0.0
M,South West,Silver,F,6.0,63.0,2.0,1.0
M,North,Tin,E,15.0,47.0,6.0,0.0
F,South East,Tin,F,6.0,44.0,8.0,0.0
F,South East,Tin,A,7.0,39.0,7.0,0.0
M,Midlands,Tin,F,8.0,38.0,5.0,0.0
F,South East,Tin,D,13.0,72.0,8.0,0.0
F,Midlands,Gold,C,7.0,66.0,8.0,0.0
F,South East,Gold,F,6.0,78.0,5.0,0.0
M,Midlands,Gold,B,9.0,55.0,2.0,0.0
M,Midlands,Gold,F,7.0,49.0,3.0,0.0
F,Midlands,Tin,D,6.0,45.0,4.0,0.0
F,Scottish,Silver,F,5.0,73.0,6.549493629532832,0.0
F,South East,Platinum,A,8.0,71.0,4.0,1.0
F,South East,Gold,D,14.0,52.0,5.0,0.0
F,Midlands,Gold,C,9.0,57.0,7.0,0.0
M,North,Gold,D,10.0,63.0,4.0,0.0
M,North,Tin,C,8.881476641620386,39.0,8.0,1.0
F,Midlands,Tin,C,7.0,35.0,4.0,1.0
F,Midlands,Silver,F,8.0,58.0,9.0,0.0
F,Midlands,Tin,C,10.0,40.0,4.0,1.0
F,South East,Gold,A,9.0,61.0,11.0,0.0
F,North,Silver,C,13.0,70.0,11.0,0.0
F,North,Silver,F,5.0,70.0,5.0,0.0
F,Midlands,Gold,A,6.0,60.0,4.0,0.0
F,South East,Silver,B,14.0,77.0,11.0,0.0
F,South East,Silver,E,10.0,74.0,12.0,0.0
F,Midlands,Silver,D,7.0,67.0,5.0,0.0
M,Midlands,Gold,D,7.0,51.0,11.0,1.0
F,Midlands,Silver,C,18.0,37.0,8.0,1.0
F,Scottish,Gold,C,5.0,58.0,6.549493629532832,0.0
F,South East,Silver,D,6.0,27.0,7.0,0.0
F,South East,Gold,D,9.0,70.0,8.0,0.0
M,North,Tin,E,7.0,51.0,10.0,0.0
F,Midlands,Silver,F,9.0,31.0,1.0,1.0
F,Midlands,Silver,F,10.0,58.0,8.0,0.0
F,Midlands,Tin,E,10.0,73.0,6.0,0.0
F,South East,Silver,F,7.0,38.0,4.0,0.0
F,South East,Silver,A,7.0,71.0,3.0,1.0
M,South East,Silver,C,8.881476641620386,50.0,6.0,1.0
F,Midlands,Silver,C,6.0,51.0,6.549493629532832,0.0
F,Midlands,Tin,D,10.0,33.0,8.0,0.0
F,South East,Gold,A,8.0,64.0,4.0,1.0
F,South East,Silver,F,9.0,50.0,4.0,0.0
F,South East,Gold,F,5.0,41.0,3.0,0.0
M,Scottish,Tin,D,12.0,50.0,7.0,1.0
F,South West,Gold,A,13.0,54.0,6.549493629532832,0.0
F,South East,Silver,B,13.0,45.0,8.0,0.0
M,South East,Silver,B,10.0,59.0,2.0,0.0
M,Midlands,Silver,C,9.0,68.0,5.0,1.0
M,Scottish,Silver,D,9.0,66.0,9.0,0.0
M,North,Tin,B,5.0,52.0,11.0,0.0
F,South East,Tin,D,9.0,48.0,5.0,1.0
F,South East,Tin,B,6.0,60.0,5.0,0.0
F,Midlands,Gold,C,11.0,56.0,7.0,0.0
F,Midlands,Tin,E,8.881476641620386,31.0,4.0,1.0
M,South East,Tin,C,9.0,55.0,11.0,0.0
M,Midlands,Silver,C,8.0,61.0,6.0,0.0
M,South East,Silver,A,9.0,68.0,4.0,0.0
F,South East,Tin,C,14.0,47.0,8.0,0.0
F,Midlands,Silver,C,3.0,70.0,11.0,0.0
M,South East,Silver,B,10.0,40.0,13.0,0.0
M,Midlands,Tin,F,10.0,57.0,4.0,0.0
F,Scottish,Silver,B,11.0,54.0,9.0,0.0
F,South East,Gold,B,9.0,44.0,5.0,0.0
M,North,Silver,D,6.0,57.0,8.0,0.0
F,Scottish,Tin,F,13.0,45.0,4.0,1.0
F,South East,Tin,E,9.0,40.0,6.0,1.0
F,North,Silver,B,9.0,22.0,3.0,1.0
M,South East,Silver,A,10.0,73.0,6.549493629532832,0.0
M,Midlands,Tin,B,5.0,50.0,4.0,0.0
F,South East,Silver,F,8.0,76.0,3.0,1.0
F,South East,Tin,E,7.0,52.0,9.0,0.0
F,Midlands,Gold,D,9.0,48.0,2.0,0.0
M,Midlands,Tin,D,9.0,47.0,4.0,0.0
F,North,Silver,D,10.0,61.0,3.0,1.0
M,South West,Silver,E,8.0,55.0,8.0,0.0
F,North,Gold,C,5.0,76.0,3.0,1.0
M,Scottish,Silver,A,11.0,47.0,11.0,0.0
F,Midlands,Gold,C,12.0,60.0,4.0,0.0
M,South East,Tin,C,8.0,49.0,20.0,0.0
F,South East,Gold,D,9.0,67.0,5.0,1.0
M,South East,Silver,C,4.0,53.0,9.0,0.0
M,South East,Gold,C,8.0,69.0,8.0,0.0
F,South East,Tin,F,7.0,27.0,4.0,1.0
M,South East,Silver,B,10.0,63.0,7.0,0.0
F,North,Tin,D,18.0,41.0,5.0,1.0
F,South East,Silver,D,4.0,64.0,9.0,0.0
M,South East,Gold,E,8.0,45.0,2.0,0.0
F,South East,Tin,D,10.0,46.0,4.0,0.0
F,Midlands,Tin,E,6.0,75.0,9.0,0.0
M,North,Gold,B,11.0,62.0,10.0,0.0
M,North,Gold,B,13.0,64.0,8.0,0.0
F,Midlands,Silver,C,11.0,25.0,3.0,1.0
F,Midlands,Platinum,C,5.0,46.0,9.0,0.0
F,North,Tin,E,10.0,39.0,5.0,1.0
F,South East,Gold,F,6.0,56.0,1.0,0.0
M,Scottish,Gold,C,6.0,62.0,4.0,0.0
M,South East,Gold,F,5.0,77.0,16.0,0.0
F,Midlands,Tin,C,6.0,48.0,5.0,0.0
F,North,Silver,C,4.0,29.0,7.0,1.0
M,Midlands,Tin,C,9.0,63.0,5.0,0.0
F,Midlands,Tin,D,9.0,58.0,5.0,1.0
F,North,Silver,C,12.0,68.0,6.549493629532832,0.0
F,South East,Silver,B,7.0,36.0,8.0,1.0
F,Midlands,Silver,E,17.0,43.0,6.0,1.0
M,South East,Tin,D,6.0,57.0,4.0,0.0
F,South East,Tin,D,6.0,45.0,10.0,0.0
F,North,Tin,B,12.0,37.0,5.0,1.0
M,Midlands,Silver,C,10.0,44.0,9.0,0.0
F,South East,Gold,B,9.0,51.0,10.0,0.0
F,South West,Gold,F,7.0,62.0,2.0,0.0
F,Midlands,Silver,F,18.0,54.0,9.0,1.0
M,South East,Silver,D,7.0,57.0,5.0,0.0
M,Midlands,Gold,B,7.0,63.0,5.0,0.0
M,North,Tin,D,3.0,51.0,5.0,0.0
M,Midlands,Gold,D,11.0,74.0,8.0,0.0
M,South West,Silver,F,8.0,56.0,5.0,1.0
F,Midlands,Tin,F,4.0,33.0,6.0,0.0
F,Midlands,Silver,B,8.0,50.0,5.0,0.0
M,North,Gold,F,7.0,72.0,5.0,0.0
M,Scottish,Silver,F,8.0,28.0,2.0,0.0
F,North,Gold,A,9.0,65.0,6.0,0.0
F,North,Silver,C,10.0,39.0,1.0,1.0
F,South West,Gold,C,11.0,59.0,5.0,0.0
M,North,Tin,D,10.0,50.0,5.0,0.0
M,South East,Tin,A,9.0,55.0,4.0,0.0
F,South East,Gold,F,12.0,48.0,13.0,1.0
M,South East,Tin,F,8.0,32.0,7.0,1.0
F,North,Tin,C,13.0,38.0,8.0,1.0
F,Midlands,Silver,F,9.0,39.0,4.0,1.0
M,Scottish,Gold,E,11.0,44.0,3.0,1.0
F,Midlands,Gold,D,11.0,57.0,6.0,1.0
F,Midlands,Gold,F,5.0,34.0,5.0,0.0
F,North,Tin,D,11.0,56.0,6.0,1.0
M,Midlands,Gold,C,6.0,69.0,12.0,0.0
M,South East,Silver,A,11.0,53.0,7.0,0.0
F,North,Tin,D,10.0,33.0,9.0,1.0
M,North,Silver,C,6.0,67.0,4.0,0.0
F,Scottish,Silver,F,8.0,74.0,5.0,0.0
F,North,Gold,F,4.0,73.0,20.0,0.0
F,South East,Tin,F,16.0,37.0,8.0,1.0
F,South West,Silver,E,7.0,60.0,10.0,1.0
F,Midlands,Gold,C,9.0,74.0,12.0,0.0
F,South East,Tin,D,8.0,49.0,8.0,0.0
F,South East,Platinum,E,5.0,58.0,9.0,0.0
F,Midlands,Silver,B,8.0,43.0,4.0,0.0
F,Midlands,Silver,A,8.0,78.0,2.0,1.0
F,Midlands,Gold,D,4.0,76.0,6.0,0.0
F,Midlands,Silver,E,15.0,48.0,9.0,1.0
M,North,Tin,E,7.0,68.0,12.0,0.0
M,South East,Platinum,A,7.0,61.0,0.0,0.0
M,Scottish,Gold,B,10.0,64.0,11.0,0.0
F,North,Gold,D,10.0,62.0,5.0,0.0
F,Midlands,Silver,E,11.0,35.0,8.0,1.0
F,South East,Silver,C,8.0,35.0,6.0,1.0
M,South East,Tin,E,8.0,55.0,8.0,0.0
M,South East,Platinum,B,6.0,63.0,6.0,0.0
F,North,Tin,C,7.0,33.0,9.0,0.0
M,Midlands,Silver,F,7.0,50.0,1.0,0.0
M,Scottish,Silver,F,12.0,57.0,4.0,0.0
F,Midlands,Silver,C,11.0,45.0,4.0,0.0
F,Midlands,Silver,F,6.0,49.0,4.0,1.0
M,Scottish,Silver,C,9.0,70.0,8.0,0.0
F,North,Tin,B,6.0,39.0,7.0,1.0
F,Midlands,Silver,E,9.0,37.0,1.0,1.0
F,Scottish,Silver,A,8.0,62.0,2.0,0.0
F,South East,Gold,B,9.0,59.0,6.549493629532832,0.0
M,South East,Silver,D,15.0,52.0,5.0,1.0
M,South East,Silver,D,9.0,50.0,9.0,0.0
F,South East,Silver,C,7.0,35.0,1.0,1.0
F,Midlands,Tin,F,12.0,39.0,5.0,1.0
F,Midlands,Gold,E,12.0,68.0,3.0,1.0
F,Midlands,Tin,A,11.0,32.0,5.0,0.0
F,North,Tin,F,7.0,30.0,4.0,1.0
F,North,Tin,C,10.0,59.0,10.0,1.0
M,North,Silver,C,14.0,53.0,5.0,1.0
F,Midlands,Tin,F,12.0,53.0,5.0,0.0
F,Midlands,Tin,F,13.0,53.0,8.0,1.0
M,South West,Tin,F,7.0,48.0,7.0,0.0
F,North,Tin,C,11.0,61.0,5.0,1.0
F,Midlands,Silver,F,14.0,76.0,9.0,1.0
F,North,Tin,C,11.0,44.0,5.0,1.0
F,South East,Platinum,A,9.0,39.0,1.0,1.0
F,South East,Tin,F,6.0,35.0,5.0,0.0
F,North,Gold,B,11.0,63.0,12.0,0.0
F,Midlands,Gold,F,11.0,62.0,2.0,0.0
F,Scottish,Tin,E,9.0,50.0,8.0,0.0
F,North,Tin,E,12.0,34.0,4.0,1.0
F,South East,Silver,F,8.881476641620386,30.0,4.0,1.0
F,North,Tin,C,10.0,44.0,8.0,0.0
M,Midlands,Tin,C,7.0,40.0,4.0,0.0
F,South East,Silver,F,11.0,25.0,1.0,1.0
M,Midlands,Silver,D,5.0,57.0,4.0,0.0
F,North,Silver,A,7.0,23.0,5.0,1.0
M,South East,Tin,C,10.0,35.0,8.0,1.0
F,South East,Tin,E,12.0,33.0,8.0,1.0
F,South East,Silver,F,9.0,46.0,2.0,0.0
F,South East,Tin,C,12.0,43.0,9.0,1.0
F,Scottish,Tin,E,14.0,35.0,4.0,1.0
M,Midlands,Silver,C,7.0,54.0,11.0,0.0
F,Scottish,Silver,D,13.0,66.0,5.0,1.0
F,South East,Tin,F,16.0,37.0,8.0,1.0
M,North,Silver,A,3.0,58.0,2.0,0.0
M,South East,Tin,A,10.0,49.0,8.0,0.0
F,Midlands,Tin,D,8.0,36.0,8.0,1.0
F,South East,Silver,B,10.0,54.0,5.0,1.0
M,Midlands,Tin,F,8.0,55.0,9.0,0.0
F,South East,Platinum,C,7.0,72.0,8.0,0.0
M,North,Tin,F,7.0,40.0,4.0,0.0
F,Midlands,Tin,C,3.0,55.0,5.0,0.0
F,North,Tin,B,10.0,63.0,8.0,0.0
M,Midlands,Platinum,F,14.0,70.0,3.0,0.0
M,Midlands,Platinum,C,12.0,70.0,6.549493629532832,1.0
F,North,Gold,D,3.0,77.0,4.0,0.0
M,Midlands,Gold,A,6.0,63.0,13.0,0.0
F,South East,Gold,A,6.0,68.0,5.0,0.0
F,North,Silver,C,5.0,68.0,9.0,0.0
M,Midlands,Tin,F,7.0,49.0,5.0,0.0
M,North,Silver,C,7.0,73.0,4.0,1.0
F,South East,Gold,C,10.0,59.0,2.0,1.0
F,Midlands,Gold,F,11.0,67.0,2.0,1.0
F,Midlands,Gold,B,10.0,56.0,1.0,0.0
F,Midlands,Platinum,C,7.0,56.0,3.0,0.0
F,Scottish,Silver,A,9.0,69.0,18.0,0.0
M,South East,Gold,C,8.0,75.0,2.0,0.0
M,South East,Tin,C,13.0,42.0,5.0,1.0
M,Midlands,Silver,E,13.0,42.0,8.0,1.0
M,Midlands,Silver,F,6.0,50.0,6.0,0.0
M,South East,Tin,D,7.0,51.0,5.0,0.0
F,North,Gold,A,12.0,25.0,2.0,1.0
F,South West,Silver,F,10.0,50.0,8.0,0.0
F,Midlands,Silver,B,9.0,64.0,7.0,1.0
F,South East,Gold,B,15.0,61.0,4.0,0.0
M,North,Gold,F,11.0,67.0,2.0,0.0
M,South East,Tin,B,10.0,37.0,7.0,0.0
F,Scottish,Silver,D,9.0,55.0,4.0,0.0
F,South East,Silver,B,10.0,67.0,8.0,0.0
F,Midlands,Tin,E,12.0,43.0,5.0,0.0
F,South East,Gold,E,5.0,45.0,3.0,0.0
F,South East,Platinum,E,12.0,75.0,6.549493629532832,1.0
M,Midlands,Silver,D,5.0,52.0,1.0,0.0
F,North,Gold,D,10.0,56.0,1.0,1.0
F,South East,Tin,D,7.0,61.0,6.0,0.0
F,North,Tin,F,4.0,42.0,5.0,0.0
F,Midlands,Gold,E,15.0,53.0,3.0,0.0
F,North,Silver,B,7.0,56.0,5.0,0.0
M,South East,Tin,F,2.0,40.0,5.0,0.0
F,South East,Tin,B,5.0,35.0,5.0,0.0
M,South East,Silver,A,7.0,53.0,8.0,0.0
F,South East,Tin,F,6.0,35.0,6.0,0.0
F,South East,Gold,D,3.0,38.0,5.0,0.0
F,Midlands,Tin,F,16.0,28.0,4.0,1.0
F,South East,Silver,C,8.0,29.0,4.0,1.0
M,North,Silver,E,13.0,43.0,11.0,0.0
F,South East,Silver,E,6.0,70.0,9.0,1.0
F,South West,Silver,C,12.0,65.0,4.0,1.0
F,South East,Tin,B,13.0,57.0,9.0,0.0
F,South East,Silver,D,9.0,67.0,9.0,1.0
F,North,Gold,E,9.0,41.0,6.0,0.0
F,North,Gold,A,11.0,64.0,4.0,0.0
F,South East,Tin,E,7.0,43.0,5.0,1.0
F,South East,Silver,D,6.0,32.0,10.0,1.0
F,Midlands,Gold,B,2.0,58.0,12.0,0.0
F,North,Gold,B,6.0,70.0,8.0,0.0
M,South East,Silver,D,16.0,60.0,2.0,0.0
M,Midlands,Tin,F,11.0,49.0,10.0,0.0
F,Scottish,Gold,D,5.0,62.0,5.0,0.0
F,North,Silver,E,6.0,49.0,10.0,0.0
F,Midlands,Silver,F,7.0,59.0,4.0,0.0
M,Midlands,Silver,C,8.0,53.0,5.0,0.0
M,South East,Tin,B,9.0,32.0,5.0,1.0
F,South East,Tin,A,8.0,37.0,5.0,1.0
F,North,Silver,F,8.881476641620386,62.0,4.0,1.0
F,North,Silver,F,6.0,32.0,5.0,1.0
F,Midlands,Silver,A,11.0,79.0,16.0,0.0
F,South East,Gold,E,12.0,37.0,5.0,1.0
F,South East,Gold,E,8.0,62.0,5.0,0.0
F,Midlands,Silver,F,8.0,68.0,5.0,0.0
F,Midlands,Gold,F,9.0,51.0,4.0,0.0
